petal length,petal width,Cluster
1.00,0.20,cluster_0
1.70,0.50,cluster_0
1.90,0.20,cluster_0
1.40,0.20,cluster_0
1.40,0.20,cluster_0
1.30,0.20,cluster_0
1.50,0.20,cluster_0
1.40,0.20,cluster_0
1.70,0.40,cluster_0
1.40,0.30,cluster_0
1.50,0.20,cluster_0
1.40,0.20,cluster_0
1.50,0.10,cluster_0
1.50,0.20,cluster_0
1.60,0.20,cluster_0
1.40,0.10,cluster_0
1.10,0.10,cluster_0
1.20,0.20,cluster_0
1.50,0.40,cluster_0
1.30,0.40,cluster_0
1.40,0.30,cluster_0
1.70,0.30,cluster_0
1.50,0.30,cluster_0
1.70,0.20,cluster_0
1.50,0.40,cluster_0
1.60,0.20,cluster_0
1.60,0.40,cluster_0
1.50,0.20,cluster_0
1.40,0.20,cluster_0
1.60,0.20,cluster_0
1.60,0.20,cluster_0
1.50,0.40,cluster_0
1.50,0.10,cluster_0
1.40,0.20,cluster_0
1.50,0.10,cluster_0
1.20,0.20,cluster_0
1.30,0.20,cluster_0
1.50,0.10,cluster_0
1.30,0.20,cluster_0
1.50,0.20,cluster_0
1.30,0.30,cluster_0
1.30,0.30,cluster_0
1.30,0.20,cluster_0
1.60,0.60,cluster_0
1.90,0.40,cluster_0
1.40,0.30,cluster_0
1.60,0.20,cluster_0
1.40,0.20,cluster_0
1.50,0.20,cluster_0
1.40,0.20,cluster_0
4.70,1.40,cluster_1
4.50,1.50,cluster_1
4.90,1.50,cluster_1
4.00,1.30,cluster_1
4.60,1.50,cluster_1
4.50,1.30,cluster_1
4.70,1.60,cluster_1
3.30,1.00,cluster_1
4.60,1.30,cluster_1
3.90,1.40,cluster_1
3.50,1.00,cluster_1
4.20,1.50,cluster_1
4.00,1.00,cluster_1
4.70,1.40,cluster_1
3.60,1.30,cluster_1
4.40,1.40,cluster_1
4.50,1.50,cluster_1
4.10,1.00,cluster_1
4.50,1.50,cluster_1
3.90,1.10,cluster_1
4.80,1.80,cluster_1
4.00,1.30,cluster_1
4.90,1.50,cluster_1
4.70,1.20,cluster_1
4.30,1.30,cluster_1
4.40,1.40,cluster_1
4.80,1.40,cluster_1
5.00,1.70,cluster_2
4.50,1.50,cluster_1
3.50,1.00,cluster_1
3.80,1.10,cluster_1
3.70,1.00,cluster_1
3.90,1.20,cluster_1
5.10,1.60,cluster_2
4.50,1.50,cluster_1
4.50,1.60,cluster_1
4.70,1.50,cluster_1
4.40,1.30,cluster_1
4.10,1.30,cluster_1
4.00,1.30,cluster_1
4.40,1.20,cluster_1
4.60,1.40,cluster_1
4.00,1.20,cluster_1
3.30,1.00,cluster_1
4.20,1.30,cluster_1
4.20,1.20,cluster_1
4.20,1.30,cluster_1
4.30,1.30,cluster_1
3.00,1.10,cluster_1
4.10,1.30,cluster_1
6.00,2.50,cluster_2
5.10,1.90,cluster_2
5.90,2.10,cluster_2
5.60,1.80,cluster_2
5.80,2.20,cluster_2
6.60,2.10,cluster_2
4.50,1.70,cluster_1
6.30,1.80,cluster_2
5.80,1.80,cluster_2
6.10,2.50,cluster_2
5.10,2.00,cluster_2
5.30,1.90,cluster_2
5.50,2.10,cluster_2
5.00,2.00,cluster_2
5.10,2.40,cluster_2
5.30,2.30,cluster_2
5.50,1.80,cluster_2
6.70,2.20,cluster_2
6.90,2.30,cluster_2
5.00,1.50,cluster_1
5.70,2.30,cluster_2
4.90,2.00,cluster_2
6.70,2.00,cluster_2
4.90,1.80,cluster_2
5.70,2.10,cluster_2
6.00,1.80,cluster_2
4.80,1.80,cluster_1
4.90,1.80,cluster_2
5.60,2.10,cluster_2
5.80,1.60,cluster_2
6.10,1.90,cluster_2
6.40,2.00,cluster_2
5.60,2.20,cluster_2
5.10,1.50,cluster_2
5.60,1.40,cluster_2
6.10,2.30,cluster_2
5.60,2.40,cluster_2
5.50,1.80,cluster_2
4.80,1.80,cluster_1
5.40,2.10,cluster_2
5.60,2.40,cluster_2
5.10,2.30,cluster_2
5.10,1.90,cluster_2
5.90,2.30,cluster_2
5.70,2.50,cluster_2
5.20,2.30,cluster_2
5.00,1.90,cluster_2
5.20,2.00,cluster_2
5.40,2.30,cluster_2
5.10,1.80,cluster_2
